datetime,sigai_output,signal
2024-01-31 16:00:00,0.00863636,WSS
2024-02-05 08:00:00,0.01018194,WSS
2024-02-05 09:00:00,0.01064155,WSS
2024-02-05 10:00:00,0.01115235,WSS
2024-02-05 11:00:00,0.01175546,WSS
2024-02-05 12:00:00,0.01466483,WSS
2024-02-05 13:00:00,0.01536312,WSS
2024-02-05 14:00:00,0.01603378,WSS
2024-02-05 15:00:00,0.01651954,WSS
2024-02-05 16:00:00,0.01638774,WSS
2024-02-08 00:00:00,0.01208753,WSS
2024-02-08 01:00:00,0.01408546,WSS
2024-02-08 02:00:00,0.0140027,WSS
2024-02-08 03:00:00,0.01363237,WSS
2024-02-08 04:00:00,0.01398237,WSS
2024-02-08 05:00:00,0.01432669,WSS
2024-02-08 06:00:00,0.01436919,WSS
2024-02-08 07:00:00,0.01468914,WSS
2024-02-10 22:00:00,0.00846082,WSS
2024-02-10 23:00:00,0.00897683,WSS
2024-02-11 00:00:00,0.01378517,WSS
2024-02-11 01:00:00,0.01456191,WSS
2024-02-11 02:00:00,0.01470606,WSS
2024-02-11 03:00:00,0.01490697,WSS
2024-02-11 04:00:00,0.01569113,WSS
2024-02-11 05:00:00,0.01640312,WSS
2024-02-11 06:00:00,0.01651181,WSS
